,Archivo,Tamano,Sweeping,Goloso Adicional,Cluster Adicional,Savings
61,instanciasAleatorias/instancia_150_1.vrp,150,12176815,12379224,13689545,110714947
62,instanciasAleatorias/instancia_150_2.vrp,150,12217981,12528051,16787710,123624386
63,instanciasAleatorias/instancia_150_3.vrp,150,12234688,12548226,14685461,124593344
64,instanciasAleatorias/instancia_150_4.vrp,150,12311457,12205299,13999216,134074571
65,instanciasAleatorias/instancia_150_5.vrp,150,12613498,12417810,13586473,113470025
66,instanciasAleatorias/instancia_150_6.vrp,150,12428715,12452538,13899009,102690030
67,instanciasAleatorias/instancia_150_7.vrp,150,12173511,12733525,13719987,108349338
68,instanciasAleatorias/instancia_150_8.vrp,150,12308173,12490520,15348618,93992652
69,instanciasAleatorias/instancia_150_9.vrp,150,12393288,12644997,14705650,117028677
70,instanciasAleatorias/instancia_160_0.vrp,160,14177434,14991208,17033893,141903317
71,instanciasAleatorias/instancia_160_1.vrp,160,14052932,14211720,17241978,152652059
72,instanciasAleatorias/instancia_160_2.vrp,160,13818146,14158125,15319155,111072618
73,instanciasAleatorias/instancia_160_3.vrp,160,13918996,14193588,20361753,148568808
74,instanciasAleatorias/instancia_160_4.vrp,160,13807091,13922857,14919714,129970974
75,instanciasAleatorias/instancia_160_5.vrp,160,14097706,14535919,15779636,147776150
76,instanciasAleatorias/instancia_160_6.vrp,160,13714504,14042681,15270046,138364359
77,instanciasAleatorias/instancia_160_7.vrp,160,13789395,13925401,15024766,137026034
78,instanciasAleatorias/instancia_160_8.vrp,160,13684920,14157719,15094807,152026403
79,instanciasAleatorias/instancia_160_9.vrp,160,13785427,13950042,15704053,140407319
80,instanciasAleatorias/instancia_170_0.vrp,170,15853304,16476460,18130770,175734629
81,instanciasAleatorias/instancia_170_1.vrp,170,16445520,15933846,17641645,176276053
82,instanciasAleatorias/instancia_170_2.vrp,170,15679661,16198450,17199818,174040289
83,instanciasAleatorias/instancia_170_3.vrp,170,15922925,16347827,18040232,183601286
84,instanciasAleatorias/instancia_170_4.vrp,170,15853390,16312471,17522927,163972165
85,instanciasAleatorias/instancia_170_5.vrp,170,15890315,16118000,17746396,177530428
86,instanciasAleatorias/instancia_170_6.vrp,170,15437052,15901692,17054281,134195506
87,instanciasAleatorias/instancia_170_7.vrp,170,15806611,16396886,23769682,175863400
88,instanciasAleatorias/instancia_170_8.vrp,170,15979636,16359918,26475459,130379634
89,instanciasAleatorias/instancia_170_9.vrp,170,15956822,16142265,17937993,179163114
90,instanciasAleatorias/instancia_180_0.vrp,180,17681820,17984954,20008336,159717348
91,instanciasAleatorias/instancia_180_1.vrp,180,17447263,17804108,20627377,203946633
92,instanciasAleatorias/instancia_180_2.vrp,180,18029842,18071005,24231343,228853140
93,instanciasAleatorias/instancia_180_3.vrp,180,17462076,17985763,21798301,186259402
94,instanciasAleatorias/instancia_180_4.vrp,180,17502481,17910726,20011203,159182637
95,instanciasAleatorias/instancia_180_5.vrp,180,17496038,17736205,20069026,189810139
96,instanciasAleatorias/instancia_180_6.vrp,180,17732636,17979531,20621905,199933612
97,instanciasAleatorias/instancia_180_7.vrp,180,17546116,17973131,22997316,232815760
98,instanciasAleatorias/instancia_180_8.vrp,180,17522976,18273521,24673436,210315789
99,instanciasAleatorias/instancia_180_9.vrp,180,17472638,17701734,22796492,209585496
100,instanciasAleatorias/instancia_190_0.vrp,190,19570723,21583231,27305076,263143704
101,instanciasAleatorias/instancia_190_1.vrp,190,19112285,19856829,23636802,198039926
102,instanciasAleatorias/instancia_190_2.vrp,190,20714700,21338171,23477505,187178667
103,instanciasAleatorias/instancia_190_3.vrp,190,19908870,19660322,27041723,228745246
104,instanciasAleatorias/instancia_190_4.vrp,190,19105071,20041285,26796801,241539218
105,instanciasAleatorias/instancia_190_5.vrp,190,20993657,21261357,24087227,227467291
106,instanciasAleatorias/instancia_190_6.vrp,190,20778858,21674068,26575944,213359956
107,instanciasAleatorias/instancia_190_7.vrp,190,19767559,21178004,26392519,214723539
108,instanciasAleatorias/instancia_190_8.vrp,190,21003244,20416366,24885146,242911576
109,instanciasAleatorias/instancia_190_9.vrp,190,20627352,21257099,23944196,232562056
110,instanciasAleatorias/instancia_200_0.vrp,200,24957728,25381195,29961872,296540078
111,instanciasAleatorias/instancia_200_1.vrp,200,24555796,22835121,39220563,271205360
112,instanciasAleatorias/instancia_200_2.vrp,200,24714867,22441636,28259228,227670694
113,instanciasAleatorias/instancia_200_3.vrp,200,24294659,24821480,27469330,269414433
114,instanciasAleatorias/instancia_200_4.vrp,200,24537998,25395641,27640284,311916859
115,instanciasAleatorias/instancia_200_5.vrp,200,24837513,22368736,36910347,284943157
116,instanciasAleatorias/instancia_200_6.vrp,200,24718008,24760546,33143904,270865569
117,instanciasAleatorias/instancia_200_7.vrp,200,24837725,24915386,45105395,225649052
118,instanciasAleatorias/instancia_200_8.vrp,200,24571009,25072110,29427241,244684820
119,instanciasAleatorias/instancia_200_9.vrp,200,24704839,22323723,29525659,302977981
120,instanciasAleatorias/instancia_20_0.vrp,20,370561,242805,272562,355898
